
AMDuProfPcm Report

System:,Family(0x19) Model(0x1) Stepping(0x1)
Number of Sockets :,2
Number of CCDs :,8
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True
Number of Threads sharing L3:,12

Core P0 state frequency (MHz):,2650.000000
Measured DF Frequency (MHz):,554.098877
Multiplex interval (ms):,50
Sample interval (ms):,1000
Version:,4.1.0

Hypervisor Info:
Hypervisor Enabled:,0

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2024/12/05 16:24:58:794
Package-0,,,,,,,,,,,,,,,,,,,,,,,,Package-1,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp, Pkg0-Total Mem Bw (GB/s),Pkg0-Total Mem RdBw (GB/s),Pkg0-Total Mem WrBw (GB/s),Pkg0-Mem Ch-A RdBw (GB/s),Pkg0-Mem Ch-A WrBw (GB/s),Pkg0-Mem Ch-B RdBw (GB/s),Pkg0-Mem Ch-B WrBw (GB/s),Pkg0-Mem Ch-C RdBw (GB/s),Pkg0-Mem Ch-C WrBw (GB/s),Pkg0-Mem Ch-D RdBw (GB/s),Pkg0-Mem Ch-D WrBw (GB/s),Pkg0-Mem Ch-E RdBw (GB/s),Pkg0-Mem Ch-E WrBw (GB/s),Pkg0-Mem Ch-F RdBw (GB/s),Pkg0-Mem Ch-F WrBw (GB/s),Pkg0-Mem Ch-G RdBw (GB/s),Pkg0-Mem Ch-G WrBw (GB/s),Pkg0-Mem Ch-H RdBw (GB/s),Pkg0-Mem Ch-H WrBw (GB/s),Pkg0-Approximate xGMI outbound data bytes (GB/s),Pkg0-xGMI0 BW (GB/s),Pkg0-xGMI1 BW (GB/s),Pkg0-xGMI2 BW (GB/s),Pkg0-xGMI3 BW (GB/s),Pkg1-Total Mem Bw (GB/s),Pkg1-Total Mem RdBw (GB/s),Pkg1-Total Mem WrBw (GB/s),Pkg1-Mem Ch-A RdBw (GB/s),Pkg1-Mem Ch-A WrBw (GB/s),Pkg1-Mem Ch-B RdBw (GB/s),Pkg1-Mem Ch-B WrBw (GB/s),Pkg1-Mem Ch-C RdBw (GB/s),Pkg1-Mem Ch-C WrBw (GB/s),Pkg1-Mem Ch-D RdBw (GB/s),Pkg1-Mem Ch-D WrBw (GB/s),Pkg1-Mem Ch-E RdBw (GB/s),Pkg1-Mem Ch-E WrBw (GB/s),Pkg1-Mem Ch-F RdBw (GB/s),Pkg1-Mem Ch-F WrBw (GB/s),Pkg1-Mem Ch-G RdBw (GB/s),Pkg1-Mem Ch-G WrBw (GB/s),Pkg1-Mem Ch-H RdBw (GB/s),Pkg1-Mem Ch-H WrBw (GB/s),Pkg1-Approximate xGMI outbound data bytes (GB/s),Pkg1-xGMI0 BW (GB/s),Pkg1-xGMI1 BW (GB/s),Pkg1-xGMI2 BW (GB/s),Pkg1-xGMI3 BW (GB/s),
00:00:00:456, 0.39,0.20,0.19,0.02,0.01,0.02,0.01,0.04,0.05,0.04,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.07,0.01,0.06,0.00,0.00,2.75,1.49,1.26,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.69,0.59,0.69,0.59,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:00:709, 0.29,0.18,0.12,0.02,0.02,0.02,0.02,0.04,0.01,0.04,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.07,0.04,0.02,0.01,0.00,1.90,1.15,0.75,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.52,0.33,0.51,0.33,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:00:963, 0.47,0.35,0.12,0.04,0.01,0.04,0.01,0.02,0.02,0.02,0.02,0.07,0.02,0.07,0.02,0.05,0.01,0.05,0.01,0.08,0.03,0.01,0.05,0.00,0.61,0.48,0.14,0.04,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.10,0.03,0.10,0.03,0.08,0.01,0.07,0.01,0.06,0.03,0.00,0.01,0.02,
00:00:01:216, 0.41,0.29,0.13,0.06,0.02,0.06,0.02,0.04,0.02,0.04,0.02,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.09,0.09,0.00,0.00,0.00,0.47,0.35,0.12,0.06,0.02,0.06,0.02,0.05,0.01,0.05,0.01,0.03,0.01,0.03,0.01,0.03,0.02,0.03,0.02,0.04,0.01,0.00,0.01,0.02,
00:00:01:469, 30.47,15.28,15.19,7.56,7.55,7.56,7.55,0.04,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.08,0.08,0.00,0.00,0.00,0.27,0.16,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.04,0.01,0.00,0.01,0.02,
00:00:01:722, 26.12,13.31,12.82,6.60,6.37,6.61,6.37,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.08,0.08,0.00,0.00,0.00,0.27,0.16,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.01,
00:00:01:975, 19.26,9.99,9.27,4.95,4.59,4.95,4.59,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.28,0.17,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.01,
00:00:02:228, 12.77,6.75,6.02,3.33,2.97,3.33,2.97,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.28,0.17,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:02:481, 29.91,14.98,14.93,0.02,0.02,0.02,0.02,7.43,7.42,7.43,7.42,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.31,0.20,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.05,0.01,0.05,0.01,0.02,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.01,
